,Port,Navire,Type Navire,Jauge Brute,Tirant Eau Entree Avant,Tirant Eau Entree Arriere,Tirant Eau Sortie Avant,Tirant Eau Sortie Arriere,Nbr Remorque Accostage,Nbr Remorque Appareillage,Nbr Remorque Changement,Nbr Remorque Assistance,Provenances,Destinations,Armateur Disposant,Armateur Proprietaire,Date Entrée au Port,Heure Entrée au Port,Date Entree Mouillage,Heure Entree Mouillage,Date Sortie Mouillage,Heure Sortie Mouillage,Date Accostage,Heure Accostage,Date App Quai,Heure App Quai,Poste Accostage,Date Appareillage Port,Heure Appareillage Port,Longueur,Tirant Eau,Sejour Rade (Jours),Sejour Mouillage (Jours),Sejour Quai (Jours),Sejour Port (Jours),Marchandise DAP Import,Tonnage DAP Import,Marchandise DAP Export,Tonnage DAP Export
0,CASABLANCA,MICHEL A,PORTE CONTENEUR,17687,8.6,8.2,8.6,9.7,1,1,0,0,"LA SPEZIA , SALERNO , GENOVA",GENOVA,EGEKONT KONTEYNER TASIMACILIK A.S.,EGEKONT KONTEYNER TASIMACILIK A.S.,20/12/2025,12:02,20/12/2025 | 24/12/2025,12:03 | 07:31,20/12/2025 | 29/12/2025,12:08 | 21:19,30/12/2025,00:20,31/12/2025,20:55,74,31/12/25,21:49,184.0,9.0,"0,00","5,58","1,86","11,41",CONTENEURS,5300.0,CONTENEURS,1200.0
1,CASABLANCA,AFRICAN RAVEN,VRAQUIER,23753,9.2,9.5,4.0,6.3,2,2,0,0,ITACOATIARA,A ORDRE,AFRICAN RAVEN SHIPPING CO.LTD,AFRICAN RAVEN SHIPPING CO.LTD,12/12/2025,17:39,12/12/2025 | 17/12/2025,17:40 | 09:35,16/12/2025 | 26/12/2025,10:18 | 17:25,26/12/2025,19:00,31/12/2025,15:00,20,31/12/25,15:58,183.0,10.02,"0,00","13,02","4,83","18,93",MAIS,32998.25,,0.0
2,CASABLANCA,MAERSK NEWARK,PORTE CONTENEUR,26517,10.0,10.5,10.9,11.7,1,1,0,0,"VALENCIA , BARCELONA",ALGECIRAS,SEASPAN 720C LTD,SEASPAN 720C LTD,17/12/2025,21:51,17/12/2025,21:52,17/12/2025,21:54,29/12/2025,22:05,31/12/2025,16:10,72,31/12/25,17:09,208.93,11.6,"0,00","0,00","1,75","13,80",CONTENEURS,9000.0,CONTENEURS,5000.0
3,CASABLANCA,LONGWAVE,CONVENTIONEL,6852,4.0,6.26,5.95,5.95,0,0,0,0,ISKENDERUN,A ORDRE,FLEXAM INVEST IRELAND 1A DESIGNATED,STATU GEMI KIRALAMA VE TIC LTD,27/12/2025,01:45,27/12/2025 | 29/12/2025,01:46 | 14:35,27/12/2025 | 31/12/2025,21:20 | 13:00,27/12/2025,22:50,29/12/2025,12:15,30,31/12/25,13:16,129.99,7.26,"0,00","2,75","1,56","4,48",TUBE EN ACIER,1474.96,,0.0
4,CASABLANCA,TAIBA,CONVENTIONEL,4033,4.8,5.4,4.0,6.4,2,2,0,0,IMBITUBA,A ORDRE,TAIBA SHIPPING LTD /TRUST COMPANEY,TAIBA SHIPPING LTD /TRUST COMPANEY,28/12/2025,09:23,,,,,28/12/2025,10:40,31/12/2025,12:50,22,31/12/25,14:00,105.0,6.59,"0,00","0,00","3,09","3,19",BOVINS,1033.23,SACS ALIMENT DE BETAILS,380.0
5,CASABLANCA,RAMI M,CONVENTIONEL,9280,8.3,8.6,6.0,6.2,0,0,0,0,VITÓRIA DA CONQUISTA,A ORDRE,SAMAR BASSAM,,30/12/2025,00:15,30/12/2025,00:16,31/12/2025,22:57,,,,,,31/12/25,22:58,144.52,9.17,"0,00","1,95","0,00","1,95",BOVINS,4679.0,,0.0
6,CASABLANCA,OCEAN FORCE,CONVENTIONEL,7949,8.62,6.0,4.0,4.0,2,0,0,0,ISKENDERUN,A ORDRE,ALLIANCE NAVIGATION LTD,SPLITHOFF TRANSPORT BV,29/12/2025,16:49,,,,,29/12/2025,18:35,31/12/2025,00:10,30,31/12/25,01:05,129.6,8.62,"0,00","0,00","1,23","1,34",TUBE EN ACIER,2661.8,,0.0
7,CASABLANCA,AMBITION,CROISIERE/PAQUEBOT,48123,6.9,6.8,0.0,0.0,0,0,0,0,TANGIER,LISBOA,WAKE ASSET CO LTD,WAKE ASSET CO LTD,31/12/2025,05:31,,,,,31/12/2025,07:00,31/12/2025,22:10,QC1,31/12/25,22:46,216.0,7.0,"0,00","0,00","0,63","0,72",,0.0,,0.0
8,CASABLANCA,CMA CGM DAKHLA,PORTE CONTENEUR,10585,6.62,7.91,7.0,8.0,1,1,0,0,TANGER MED,AGADIR,COMANAV,COMANAV,28/12/2025,23:12,28/12/2025,23:13,29/12/2025,07:12,29/12/2025,08:10,30/12/2025,14:00,51,30/12/25,14:52,151.74,8.0,"0,00","0,33","1,24","1,65",CONTENEURS,3990.0,CONTENEURS,3236.0
9,CASABLANCA,TANGER A,PORTE CONTENEUR,15995,7.3,7.0,8.9,9.6,2,1,0,0,ALGECIRAS,ALGECIRAS,MAROC FEEDERING S.A,MAROC FEEDERING S.A,14/12/2025,18:23,14/12/2025,18:24,14/12/2025,18:30,27/12/2025,21:50,30/12/2025,19:20,83,30/12/25,20:10,170.05,9.5,"0,00","0,00","2,90","16,07",CONTENEURS,3800.0,CONTENEURS,1200.0
